iter	Passed	Remaining
270	602	1622
271	603	1616
272	604	1610
273	605	1604
274	606	1598
275	607	1592
276	608	1587
277	609	1581
278	609	1575
279	610	1570
280	613	1569
281	614	1565
282	615	1560
283	616	1554
284	617	1549
285	618	1543
286	619	1538
287	620	1532
288	620	1527
289	621	1521
290	622	1516
291	623	1510
292	623	1505
293	624	1500
294	625	1494
295	627	1493
296	629	1490
297	630	1485
298	631	1480
299	632	1475
300	633	1470
301	634	1465
302	635	1461
303	636	1456
304	636	1451
305	637	1446
306	638	1441
307	639	1437
308	640	1433
309	643	1431
310	645	1430
311	646	1425
312	647	1421
313	648	1416
314	649	1412
315	650	1407
316	651	1403
317	652	1398
318	652	1393
319	653	1389
320	654	1385
321	657	1384
322	659	1381
323	660	1377
324	661	1373
325	662	1368
326	662	1364
327	663	1359
328	664	1355
329	665	1350
330	666	1346
331	666	1341
332	667	1337
333	668	1332
334	669	1328
335	669	1324
336	671	1320
337	673	1318
338	674	1315
339	675	1311
340	676	1307
341	677	1303
342	678	1299
343	679	1295
344	680	1291
345	681	1287
346	682	1283
347	683	1279
348	684	1276
349	686	1274
350	688	1272
351	689	1269
352	690	1266
353	691	1262
354	692	1258
355	693	1254
356	694	1250
357	695	1246
358	696	1242
359	696	1239
360	697	1235
361	698	1231
362	699	1227
363	702	1227
364	704	1224
365	704	1221
366	705	1217
367	706	1213
368	707	1209
369	708	1206
370	709	1202
371	710	1198
372	710	1195
373	711	1191
374	712	1187
375	713	1183
376	713	1179
377	714	1176
378	717	1176
379	719	1173
380	720	1170
381	721	1166
382	722	1163
383	722	1159
384	723	1156
385	724	1153
386	725	1149
387	726	1145
388	727	1142
389	727	1138
390	728	1135
391	729	1131
392	730	1128
393	732	1127
394	734	1125
395	735	1121
396	736	1118
397	737	1115
398	738	1111
399	739	1108
400	739	1105
401	740	1101
402	741	1098
403	742	1094
404	742	1091
405	743	1088
406	744	1084
407	745	1081
408	748	1081
409	749	1078
410	750	1075
411	751	1072
412	752	1069
413	753	1066
414	754	1063
415	755	1060
416	755	1056
417	756	1053
418	757	1050
419	758	1046
420	759	1044
421	760	1041
422	762	1039
423	764	1037
424	764	1034
425	765	1032
426	766	1028
427	767	1025
428	768	1022
429	769	1019
430	770	1016
431	771	1013
432	771	1010
433	772	1007
434	773	1004
435	774	1001
436	774	998
437	776	996
438	778	994
439	779	992
440	780	989
441	781	986
442	782	983
443	783	980
444	783	977
445	784	974
446	785	971
447	786	968
448	787	965
449	788	963
450	788	960
451	789	957
452	792	957
453	794	955
454	795	952
455	796	949
456	796	946
457	797	943
458	798	941
459	799	938
460	800	935
461	800	932
462	801	929
463	802	927
464	803	924
465	804	921
466	804	918
467	808	918
468	809	916
469	810	913
470	811	911
471	812	908
472	813	905
473	813	903
474	814	900
475	815	897
476	816	894
477	817	892
478	817	889
479	818	886
480	819	883
481	820	881
482	822	880
483	824	879
484	825	876
485	826	873
486	827	871
487	827	868
488	828	866
489	829	863
490	830	860
491	831	858
492	831	855
493	832	852
494	833	850
495	834	847
496	835	845
497	838	845
498	840	844
499	841	841
500	842	839
501	843	836
502	844	834
503	845	831
504	846	829
505	846	826
506	847	824
507	848	821
508	849	819
509	849	816
510	852	815
511	853	813
512	854	811
513	855	809
514	856	806
515	857	804
516	858	801
517	859	799
518	860	797
519	860	794
520	861	792
521	862	789
522	863	787
523	863	784
524	864	782
525	866	780
526	868	779
527	869	777
528	870	775
529	871	772
530	872	770
531	873	768
532	874	765
533	874	763
534	875	761
535	876	758
536	877	756
537	877	753
538	878	751
539	879	749
540	880	747
541	884	747
542	885	745
543	886	743
544	887	741
545	888	738
546	889	736
547	890	734
548	891	732
549	892	729
550	892	727
551	893	725
552	896	725
553	898	723
554	899	721
555	900	719
556	901	716
557	902	714
558	903	712
559	904	710
560	905	708
561	906	706
562	906	703
563	907	701
564	908	699
565	909	697
566	911	696
567	913	694
568	914	692
569	915	690
570	916	688
571	917	686
572	918	684
573	918	681
574	919	679
575	920	677
576	921	675
577	922	673
578	922	671
579	923	668
580	925	667
581	927	666
582	928	664
583	929	662
584	930	660
585	931	658
586	932	655
587	933	653
588	933	651
589	934	649
590	935	647
591	936	645
592	936	643
593	937	640
594	938	638
595	939	637
596	943	636
597	943	634
598	944	632
599	945	630
600	946	628
601	947	626
602	948	624
603	949	622
604	949	620
605	950	618
606	951	616
607	952	614
608	953	611
609	953	609
610	955	608
611	958	607
612	959	605
613	960	603
614	960	601
615	961	599
616	962	597
617	963	595
618	964	593
619	965	591
620	965	589
621	966	587
622	967	585
623	968	583
624	969	581
625	969	579
626	972	578
627	974	577
628	975	575
629	976	573
630	977	571
631	977	569
632	978	567
633	979	565
634	980	563
635	981	561
636	981	559
637	982	557
638	983	555
639	984	553
640	984	551
641	987	550
642	989	549
643	990	547
644	991	545
645	992	543
646	993	541
647	993	539
648	994	538
649	995	536
650	996	534
651	997	532
652	998	530
653	998	528
654	999	526
655	1001	525
656	1003	523
657	1004	522
658	1005	520
659	1006	518
660	1007	516
661	1008	514
662	1009	512
663	1009	511
664	1010	509
665	1011	507
666	1012	505
667	1013	503
668	1014	501
669	1018	501
670	1020	500
671	1021	498
672	1021	496
673	1022	494
674	1023	492
675	1024	491
676	1025	489
677	1026	487
678	1026	485
679	1027	483
680	1028	481
681	1029	479
682	1029	477
683	1042	481
684	1046	481
685	1052	481
686	1056	481
687	1058	480
688	1062	479
689	1065	478
690	1067	477
691	1070	476
692	1072	474
693	1073	473
694	1075	471
695	1078	471
696	1080	469
697	1082	468
698	1083	466
699	1084	464
700	1085	463
701	1086	461
702	1087	459
703	1088	457
704	1089	455
705	1090	454
706	1092	452
707	1094	451
708	1095	449
709	1095	447
710	1096	445
711	1097	443
712	1098	442
713	1099	440
714	1099	438
715	1100	436
716	1101	434
717	1102	432
718	1102	431
719	1103	429
720	1104	427
721	1106	426
722	1107	424
723	1108	422
724	1109	420
725	1110	419
726	1111	417
727	1112	415
728	1113	413
729	1114	412
730	1115	410
731	1116	408
732	1117	406
733	1117	405
734	1118	403
735	1119	401
736	1120	399
737	1122	398
738	1123	396
739	1124	395
740	1125	393
741	1126	391
742	1127	389
743	1128	388
744	1129	386
745	1130	384
746	1131	383
747	1132	381
748	1132	379
749	1133	377
750	1134	376
751	1135	374
752	1137	372
753	1137	371
754	1138	369
755	1139	367
756	1140	366
757	1142	364
758	1142	362
759	1143	361
760	1144	359
761	1145	357
762	1145	355
763	1146	354
764	1147	352
765	1148	350
766	1149	349
767	1150	347
768	1151	346
769	1152	344
770	1153	342
771	1154	340
772	1155	339
773	1156	337
774	1157	335
775	1158	334
776	1159	332
777	1160	331
778	1160	329
779	1161	327
780	1162	325
781	1163	324
782	1163	322
783	1165	321
784	1166	319
785	1167	317
786	1168	316
787	1169	314
788	1170	312
789	1171	311
790	1172	309
791	1173	308
792	1173	306
793	1174	304
794	1175	303
795	1176	301
796	1177	299
797	1177	298
798	1178	296
799	1179	294
800	1181	293
801	1182	292
802	1183	290
803	1184	288
804	1185	287
805	1185	285
806	1186	283
807	1187	282
808	1188	280
809	1188	278
810	1189	277
811	1190	275
812	1191	273
813	1191	272
814	1192	270
815	1193	269
816	1194	267
817	1196	266
818	1197	264
819	1198	263
820	1199	261
821	1199	259
822	1200	258
823	1201	256
824	1202	255
825	1203	253
826	1203	251
827	1204	250
828	1205	248
829	1206	247
830	1207	245
831	1207	243
832	1208	242
833	1210	240
834	1211	239
835	1212	237
836	1213	236
837	1214	234
838	1215	233
839	1216	231
840	1217	230
841	1218	228
842	1220	227
843	1220	225
844	1221	224
845	1222	222
846	1223	220
847	1224	219
848	1225	217
849	1226	216
850	1227	214
851	1228	213
852	1229	211
853	1231	210
854	1231	208
855	1232	207
856	1233	205
857	1234	204
858	1235	202
859	1235	201
860	1236	199
861	1237	198
862	1238	196
863	1239	195
864	1240	193
865	1241	192
866	1242	190
867	1243	189
868	1244	187
869	1245	186
870	1247	184
871	1247	183
872	1248	181
873	1249	180
874	1250	178
875	1250	177
876	1251	175
877	1252	174
878	1253	172
879	1254	171
880	1255	169
881	1256	168
882	1258	166
883	1258	165
884	1259	163
885	1260	162
886	1261	160
887	1262	159
888	1262	157
889	1263	156
890	1264	154
891	1265	153
892	1265	151
893	1266	150
894	1267	148
895	1268	147
896	1269	145
897	1270	144
898	1271	142
899	1273	141
900	1274	139
901	1274	138
902	1275	137
903	1276	135
904	1277	134
905	1277	132
906	1278	131
907	1279	129
908	1280	128
909	1280	126
910	1281	125
911	1282	123
912	1283	122
913	1284	120
914	1285	119
915	1286	117
916	1287	116
917	1288	115
918	1289	113
919	1290	112
920	1291	110
921	1291	109
922	1292	107
923	1293	106
924	1294	104
925	1295	103
926	1295	102
927	1296	100
928	1297	99
929	1298	97
930	1299	96
931	1301	94
932	1303	93
933	1304	92
934	1304	90
935	1305	89
936	1306	87
937	1307	86
938	1307	84
939	1308	83
940	1309	82
941	1310	80
942	1311	79
943	1312	77
944	1313	76
945	1313	74
946	1314	73
947	1316	72
948	1317	70
949	1318	69
950	1319	67
951	1320	66
952	1321	65
953	1321	63
954	1322	62
955	1323	60
956	1324	59
957	1325	58
958	1325	56
959	1326	55
960	1327	53
961	1328	52
962	1328	51
963	1330	49
964	1331	48
965	1332	46
966	1333	45
967	1334	44
968	1335	42
969	1336	41
970	1337	39
971	1338	38
972	1339	37
973	1339	35
974	1340	34
975	1341	32
976	1342	31
977	1342	30
978	1343	28
979	1346	27
980	1347	26
981	1348	24
982	1348	23
983	1349	21
984	1350	20
985	1351	19
986	1352	17
987	1354	16
988	1355	15
989	1356	13
990	1356	12
991	1357	10
992	1358	9
993	1359	8
994	1360	6
995	1361	5
996	1363	4
997	1364	2
998	1365	1
999	1365	0
